x,y
-0.002540967,-0.021901008
-0.000254578,-0.021060009
0.002238536,-0.019378012
0.004522857,-0.017135348
0.006391451,-0.015032852
0.008467391,-0.012509856
0.010889734,-0.009846693
0.013590608,-0.008024529
0.015669135,-0.007253614
0.018027019,-0.007884363
0.019831671,-0.009426194
0.021497265,-0.010687692
0.023024732,-0.012299606
0.024482257,-0.013491021
0.025523124,-0.014191853
0.024548992,-0.01173894
0.014664895,0.015593518
0.013690867,0.017976347
0.012439757,0.02021901
0.011119636,0.022251424
0.010078148,0.023372755
0.009038005,0.023583005
0.007513435,0.023232589
0.006060463,0.021340342
0.004124203,0.018116514
0.002533,0.015943934
0.000665027,0.013420938
-0.00092721,0.01194919
-0.002311997,0.010827858
-0.003905269,0.010056943
-0.005568173,0.009496277
-0.006814523,0.008515112
-0.007644837,0.007463863
-0.008959992,0.006132282
-0.009790202,0.005010951
-0.005624975,0.001016207
-0.002925343,0.003679369
-0.000780081,0.006202365
0.001087478,0.009005694
0.002470921,0.011038108
0.003645673,0.013561104
0.004475676,0.014822602
0.00406233,0.013070521
0.003303408,0.010617609
0.002543761,0.008655278
0.001229744,0.006552782
0.000192912,0.004520368
-0.001328864,0.002277705
-0.002781836,0.000385458
-0.004511889,-0.001646956
-0.006311679,-0.003399036
-0.008388032,-0.0056417
-0.011849794,-0.008585195
-0.014485485,-0.00760403
-0.007008832,-0.000735874
-0.012352742,0.003399036
-0.024476876,-0.001506789
-0.015454857,-0.008374945
-0.012403544,-0.009145861
-0.010462524,-0.009145861
-0.009144265,-0.009916776
-0.00789481,-0.011038108
-0.006922024,-0.012579939
-0.005948306,-0.014752519
-0.005113543,-0.016714849
-0.004417942,-0.018326763
-0.003652708,-0.020148927
